City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-06-09 12:51:33,-54.8,-68.3,33.46,80,75,24.16
1,Kavieng,PG,2022-06-09 12:51:48,-2.5744,150.7967,80.78,68,5,5.84
2,Provideniya,RU,2022-06-09 12:51:49,64.3833,-173.3,39.69,67,0,4.94
3,Bredasdorp,ZA,2022-06-09 12:51:50,-34.5322,20.0403,67.98,43,0,9.17
4,Cape Town,ZA,2022-06-09 12:51:52,-33.9258,18.4232,70.12,56,20,3.44
5,Lebu,CL,2022-06-09 12:51:53,-37.6167,-73.65,48.76,82,5,10.83
6,Mbanza-Ngungu,CD,2022-06-09 12:51:54,-5.25,14.8667,84.0,32,100,5.39
7,Kapaa,US,2022-06-09 12:51:55,22.0752,-159.319,73.11,93,75,9.22
8,Mataura,NZ,2022-06-09 12:51:57,-46.1927,168.8643,44.47,97,100,3.49
9,Cidreira,BR,2022-06-09 12:51:58,-30.1811,-50.2056,63.9,85,76,11.03
10,Trogir,HR,2022-06-09 12:52:00,43.5125,16.2517,71.65,64,40,5.75
11,Takoradi,GH,2022-06-09 12:52:01,4.8845,-1.7554,83.08,70,99,8.72
12,Aranos,NA,2022-06-09 12:52:02,-24.1333,19.1167,71.19,15,0,11.05
13,Butaritari,KI,2022-06-09 12:52:03,3.0707,172.7902,81.12,77,100,12.21
14,Bluff,NZ,2022-06-09 12:52:05,-46.6,168.3333,44.8,64,100,19.44
15,Anamur,TR,2022-06-09 12:52:06,36.0751,32.8369,80.82,61,1,13.98
16,Torbay,CA,2022-06-09 12:52:07,47.6666,-52.7314,55.89,80,75,5.75
17,Pangnirtung,CA,2022-06-09 12:52:08,66.1451,-65.7125,39.2,87,40,12.66
18,Morki,RU,2022-06-09 12:52:09,56.4303,48.9947,68.92,49,16,10.13
19,Yellowknife,CA,2022-06-09 12:52:10,62.456,-114.3525,63.12,39,40,8.05
20,Oswego,US,2022-06-09 12:52:11,43.4501,-76.1497,59.52,93,100,5.01
21,Sarab,IR,2022-06-09 12:52:12,38.6066,44.9883,89.71,17,99,14.61
22,Klaksvik,FO,2022-06-09 12:52:13,62.2266,-6.589,52.72,85,100,24.09
23,Nikolskoye,RU,2022-06-09 12:52:16,59.7035,30.7861,70.88,51,72,7.83
24,Hermanus,ZA,2022-06-09 12:52:17,-34.4187,19.2345,67.8,62,0,4.47
25,Punta Arenas,CL,2022-06-09 12:52:18,-53.15,-70.9167,37.42,69,0,12.66
26,Nehe,CN,2022-06-09 12:52:19,48.4833,124.8333,68.05,44,100,5.68
27,Ponta Delgada,PT,2022-06-09 12:52:20,37.7333,-25.6667,68.72,94,75,8.05
28,Lagoa,PT,2022-06-09 12:52:21,39.05,-27.9833,64.47,93,100,10.29
29,Nizhniy Kuranakh,RU,2022-06-09 12:52:23,58.8353,125.4869,61.86,74,80,3.29
30,Half Moon Bay,US,2022-06-09 12:52:19,37.4636,-122.4286,57.0,88,0,19.57
31,Roma,US,2022-06-09 12:48:03,43.2128,-75.4557,59.38,94,100,11.99
32,San Vicente,AR,2022-06-09 12:52:26,-26.6167,-54.1333,62.96,70,80,2.42
33,Atuona,PF,2022-06-09 12:52:28,-9.8,-139.0333,76.86,74,33,13.65
34,Ilukste,LV,2022-06-09 12:52:29,55.9775,26.2966,76.84,51,93,2.75
35,Arraial Do Cabo,BR,2022-06-09 12:52:30,-22.9661,-42.0278,73.36,83,75,4.61
36,Tres Arroyos,AR,2022-06-09 12:51:03,-38.3739,-60.2798,52.48,53,100,12.03
37,Ulaanbaatar,MN,2022-06-09 12:51:55,47.9077,106.8832,57.33,33,20,13.42
38,Rikitea,PF,2022-06-09 12:52:32,-23.1203,-134.9692,72.73,59,59,14.25
39,Bandrele,YT,2022-06-09 12:52:34,-12.9067,45.1914,85.75,62,40,12.66
40,Rawson,AR,2022-06-09 12:52:35,-43.3002,-65.1023,43.54,47,33,17.27
41,Hobart,AU,2022-06-09 12:52:36,-42.8794,147.3294,53.06,62,40,26.46
42,Marsaxlokk,MT,2022-06-09 12:52:37,35.8419,14.5431,81.21,50,0,21.85
43,Thompson,CA,2022-06-09 12:52:38,55.7435,-97.8558,51.96,82,20,4.61
44,Ponta Do Sol,PT,2022-06-09 12:52:39,32.6667,-17.1,82.71,70,7,1.99
45,Lingyuan,CN,2022-06-09 12:52:40,41.24,119.4011,60.8,82,100,3.56
46,Erenhot,CN,2022-06-09 12:53:42,43.6475,111.9767,72.19,21,96,8.79
47,Krasnoselkup,RU,2022-06-09 12:53:43,65.7,82.4667,67.73,31,13,3.15
48,Meulaboh,ID,2022-06-09 12:53:44,4.1363,96.1285,79.12,84,100,4.54
49,Kahului,US,2022-06-09 12:53:45,20.8947,-156.47,75.85,64,0,5.01
50,Nome,US,2022-06-09 12:53:46,64.5011,-165.4064,51.12,57,0,9.35
51,Tiksi,RU,2022-06-09 12:53:47,71.6872,128.8694,43.88,57,0,7.31
